Exam Date,Session,Duty
18-11-2025,FN,5
18-11-2025,AN,6
19-11-2025,FN,2
19-11-2025,AN,4
20-11-2025,FN,3
20-11-2025,AN,6
21-11-2025,FN,9
21-11-2025,AN,1
22-11-2025,FN,2
22-11-2025,AN,2
23-11-2025,FN,1
23-11-2025,AN,4
25-11-2025,FN,2
25-11-2025,AN,1
26-11-2025,FN,1
26-11-2025,AN,1
27-11-2025,FN,3
27-11-2025,AN,2
28-11-2025,FN,4
29-11-2025,FN,5
29-11-2025,AN,2
02-12-2025,FN,2
06-12-2025,FN,2
07-12-2025,AN,5
09-12-2025,FN,2
10-12-2025,FN,1
11-12-2025,FN,1
12-12-2025,FN,1
13-12-2025,FN,1
14-12-2025,FN,2
16-12-2025,FN,2
17-12-2025,FN,2
18-12-2025,FN,2
18-12-2025,AN,3
19-12-2025,FN,2
19-12-2025,AN,2
20-12-2025,FN,2
